Referência;Tipo Documento;ATCUD;Situação;Data da Transação;Motivo Emissão;Data de Emissão;País do Adquirente;NIF Adquirente;Nome do Adquirente;Valor Tributável (em euros);Valor do IVA (em euros);Imposto do Selo como Retenção na Fonte;Valor do Imposto do Selo (em euros);Valor do IRS (em euros);Total de Impostos (em euros);Total com Impostos (em euros);Total de Retenções na Fonte (em euros);Contribuição Cultura (em euros);Total do Documento (em euros)
FR ATSIRE01FR/70;Fatura-Recibo;JJMD3KXT-70;Emitido;Pagamento dos bens ou dos serviços;2025-12-27;2025-12-27;PORTUGAL;510927874;IDBL - INSTITUTO MEDICO-DENTARIO DE BEJA LDA;384,97;0;;0;88,54;;384,97;88,54;0;296,43
FR ATSIRE01FR/69;Fatura-Recibo;JJMD3KXT-69;Emitido;Pagamento dos bens ou dos serviços;2025-12-05;2025-12-05;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;258,95;0;;0;59,558;;258,95;59,558;0;199,392
FR ATSIRE01FR/68;Fatura-Recibo;JJMD3KXT-68;Emitido;Pagamento dos bens ou dos serviços;2025-12-05;2025-12-05;PORTUGAL;500600651;EQUIPADENTE LABORATORIO PROTESE DENTARIA LDA;891,45;0;;0;222,862;;891,45;222,862;0;668,588
FR ATSIRE01FR/67;Fatura-Recibo;JJMD3KXT-67;Emitido;Pagamento dos bens ou dos serviços;2025-12-05;2025-12-05;PORTUGAL;517283972;EVORAL CENTER LDA;220;0;;0;50,6;;220;50,6;0;169,4
FR ATSIRE01FR/66;Fatura-Recibo;JJMD3KXT-66;Emitido;Pagamento dos bens ou dos serviços;2025-11-17;2025-11-22;PORTUGAL;510927874;IDBL - INSTITUTO MEDICO-DENTARIO DE BEJA LDA;101,67;0;;0;23,384;;101,67;23,384;0;78,286
FR ATSIRE01FR/65;Fatura-Recibo;JJMD3KXT-65;Emitido;Pagamento dos bens ou dos serviços;2025-11-11;2025-11-22;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;364,7;0;;0;83,881;;364,7;83,881;0;280,819
FR ATSIRE01FR/64;Fatura-Recibo;JJMD3KXT-64;Emitido;Pagamento dos bens ou dos serviços;2025-11-04;2025-11-11;PORTUGAL;500600651;EQUIPADENTE LABORATORIO PROTESE DENTARIA LDA;745,05;0;;0;186,262;;745,05;186,262;0;558,788
FR ATSIRE01FR/63;Fatura-Recibo;JJMD3KXT-63;Emitido;Pagamento dos bens ou dos serviços;2025-11-10;2025-11-10;PORTUGAL;517283972;EVORAL CENTER LDA;192,75;0;;0;44,332;;192,75;44,332;0;148,418
FR ATSIRE01FR/62;Fatura-Recibo;JJMD3KXT-62;Emitido;Pagamento dos bens ou dos serviços;2025-10-15;2025-10-26;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;360,2;0;;0;82,85;;360,2;82,85;0;277,35
FR ATSIRE01FR/61;Fatura-Recibo;JJMD3KXT-61;Emitido;Pagamento dos bens ou dos serviços;2025-09-16;2025-10-14;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;395,19;0;;0;90,89;;395,19;90,89;0;304,3
